"hfpxzc href","qBF1Pd","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/Gazi+Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d34ec37e06e911:0xbf4858225617aaf6!8m2!3d39.9421159!4d32.8254026!16s%2Fg%2F11d_2h3n68!19sChIJEekGfsNO0xQR9qoXViJYSL8?authuser=0&hl=tr&rclk=1","Gazi Otobüs Durağı","",""
"https://www.google.com/maps/place/Bi%C5%9Fkek+Cd.+1.+Durak/data=!4m7!3m6!1s0x14d34f2627f2b5a7:0xb042de1a3911056a!8m2!3d39.92973!4d32.819772!16s%2Fg%2F11b7q8ly9z!19sChIJp7XyJyZP0xQRagURORreQrA?authuser=0&hl=tr&rclk=1","Bişkek Cd. 1. Durak","·","Bişkek Cd."
"https://www.google.com/maps/place/Ho%C5%9Fdere+Camii/data=!4m7!3m6!1s0x14d34f74cebd13b1:0x29d6274890e300b9!8m2!3d39.90441!4d32.84978!16s%2Fg%2F11b7q29wxp!19sChIJsRO9znRP0xQRuQDjkEgn1ik?authuser=0&hl=tr&rclk=1","Hoşdere Camii","·","Hoşdere Cd."
"https://www.google.com/maps/place/Havaliman%C4%B1+Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d34faa88404885:0xad3f08120e6b5a0b!8m2!3d39.9194638!4d32.8543371!16s%2Fg%2F11c2y83hf_!19sChIJhUhAiKpP0xQRC1prDhIIP60?authuser=0&hl=tr&rclk=1","Havalimanı Otobüs Durağı","·","Atatürk Blv No:99"
"https://www.google.com/maps/place/Nokta+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d34efc3b7c8da1:0x21cceaae08eef86b!8m2!3d39.9271862!4d32.8471318!16s%2Fg%2F11bycktn7p!19sChIJoY18O_xO0xQRa_juCK7qzCE?authuser=0&hl=tr&rclk=1","Nokta Durağı","",""
"https://www.google.com/maps/place/%C4%B0ncesu+Son+Durak/data=!4m7!3m6!1s0x14d34e520ed7fb2b:0xa2b25f81a6624b48!8m2!3d39.9223771!4d32.8645142!16s%2Fg%2F11c1rddxtl!19sChIJK_vXDlJO0xQRSEtipoFfsqI?authuser=0&hl=tr&rclk=1","İncesu Son Durak","",""
"https://www.google.com/maps/place/40.+Durak/data=!4m7!3m6!1s0x14d35a59a53a0c81:0xfafc1cbada8ff56e!8m2!3d39.829398!4d32.947403!16s%2Fg%2F11b7p_2x4r!19sChIJgQw6pVla0xQRbvWP2roc_Po?authuser=0&hl=tr&rclk=1","40. Durak","",""
"https://www.google.com/maps/place/Bah%C3%A7elievler+Cami/data=!4m7!3m6!1s0x14d34f234364b851:0x2038edc33b1eefd!8m2!3d39.9219008!4d32.8262719!16s%2Fg%2F11c0wldmz3!19sChIJUbhkQyNP0xQR_e6xM9yOAwI?authuser=0&hl=tr&rclk=1","Bahçelievler Cami","·","Aşkabat Cd. No:23"
"https://www.google.com/maps/place/Tobb+%C3%9Cniversitesi/data=!4m7!3m6!1s0x14d348c82c23cb9f:0x57da79ce1d05a0a9!8m2!3d39.92102!4d32.79966!16s%2Fg%2F11b7q67fhd!19sChIJn8sjLMhI0xQRqaAFHc552lc?authuser=0&hl=tr&rclk=1","Tobb Üniversitesi","·","Söğütözü Caddesi"
"https://www.google.com/maps/place/35.+Durak/data=!4m7!3m6!1s0x14d35a8a50a63ce1:0x4e3a39d8d81ea039!8m2!3d39.841309!4d32.941638!16s%2Fg%2F11bycj265d!19sChIJ4TymUIpa0xQROaAe2Ng5Ok4?authuser=0&hl=tr&rclk=1","35. Durak","",""
